a=0xb4a6; output=0x4687
a=0x473a; output=0xb3f3
a=0xf104; output=0x0a29
a=0xbf16; output=0x3c17
a=0x4f18; output=0xac15
a=0x8842; output=0x72eb
a=0x51d8; output=0xa955
a=0x9bf5; output=0x5f38
a=0xae80; output=0x4cad
a=0x3ad3; output=0xc05a
a=0x8a18; output=0x7115
a=0x386d; output=0xc2c0
a=0x3510; output=0xc61d
a=0xedbc; output=0x0d71
a=0xf0f8; output=0x0a35
a=0x8bab; output=0x6f82
a=0x8bc8; output=0x6f65
a=0x8cdd; output=0x6e50
a=0xe651; output=0x14dc
a=0x75a2; output=0x858b
a=0xe6c6; output=0x1467
a=0x8c3a; output=0x6ef3
a=0x1420; output=0xe70d
a=0x3083; output=0xcaaa
a=0x4cd7; output=0xae56
a=0x85c0; output=0x756d
a=0xabbe; output=0x4f6f
a=0x1ff7; output=0xdb36
a=0x86a1; output=0x748c
a=0x5494; output=0xa699
a=0x8f9f; output=0x6b8e
a=0xe75c; output=0x13d1
a=0x5587; output=0xa5a6
a=0x7ed2; output=0x7c5b
a=0x6e2e; output=0x8cff
a=0xef87; output=0x0ba6
a=0xbc77; output=0x3eb6
a=0x8c8d; output=0x6ea0
a=0x671c; output=0x9411
a=0xd95c; output=0x21d1
a=0x1162; output=0xe9cb
a=0xa3cd; output=0x5760
a=0xd879; output=0x22b4
a=0x348e; output=0xc69f
a=0xef53; output=0x0bda
a=0x022c; output=0xf901
a=0x0d1a; output=0xee13
a=0x3876; output=0xc2b7
a=0xcfd6; output=0x2b57
a=0x542b; output=0xa702
a=0xad15; output=0x4e18
a=0x8dc0; output=0x6d6d
a=0xc324; output=0x3809
a=0xce2f; output=0x2cfe
a=0x2bd1; output=0xcf5c
a=0x1bda; output=0xdf53
a=0x5230; output=0xa8fd
a=0xc41b; output=0x3712
a=0xb6bc; output=0x4471
a=0xaddf; output=0x4d4e
a=0xe640; output=0x14ed
a=0xcbb2; output=0x2f7b
a=0xd837; output=0x22f6
a=0x3ecc; output=0xbc61
a=0xed1c; output=0x0e11
a=0x86d2; output=0x745b
a=0x62ed; output=0x9840
a=0x2710; output=0xd41d
a=0x6b14; output=0x9019
a=0x9d45; output=0x5de8
a=0xbea4; output=0x3c89
a=0xa573; output=0x55ba
a=0xffe8; output=0xfb45
a=0x03a2; output=0xf78b
a=0xf5c2; output=0x056b
a=0x046a; output=0xf6c3
a=0x1d6a; output=0xddc3
a=0x3782; output=0xc3ab
a=0xa238; output=0x58f5
a=0xf3d4; output=0x0759
a=0x823a; output=0x78f3
a=0x87cd; output=0x7360
a=0x5bba; output=0x9f73
a=0x77e3; output=0x834a
a=0x5dda; output=0x9d53
a=0xdf99; output=0x1b94
a=0x86c7; output=0x7466
a=0x8e27; output=0x6d06
a=0xe939; output=0x11f4
a=0x6577; output=0x95b6
a=0x0821; output=0xf30c
a=0xb2a8; output=0x4885
a=0x30de; output=0xca4f
a=0x2e36; output=0xccf7
a=0xfbfd; output=0xff30
a=0xc458; output=0x36d5
a=0x5688; output=0xa4a5
a=0x5502; output=0xa62b
a=0xe0ce; output=0x1a5f
a=0x1503; output=0xe62a
a=0x4a18; output=0xb115
a=0x4138; output=0xb9f5
a=0x75ec; output=0x8541
a=0x541e; output=0xa70f
a=0x7049; output=0x8ae4
a=0x49d8; output=0xb155
a=0xab14; output=0x5019
a=0xb2d1; output=0x485c
a=0x77b9; output=0x8374
a=0xe676; output=0x14b7
a=0x74f4; output=0x8639
a=0xc08d; output=0x3aa0
a=0xdd0a; output=0x1e23
a=0x942d; output=0x6700
a=0x9581; output=0x65ac
a=0xa901; output=0x522c
a=0x955b; output=0x65d2
a=0x52b7; output=0xa876
a=0x8d56; output=0x6dd7
a=0x4c3c; output=0xaef1
a=0x0b52; output=0xefdb
a=0xfed7; output=0xfc56
a=0xc544; output=0x35e9
a=0xd443; output=0x26ea
a=0x29e2; output=0xd14b
a=0x2d95; output=0xcd98
a=0xadf3; output=0x4d3a
a=0x0991; output=0xf19c
a=0xc6c9; output=0x3464
a=0xef44; output=0x0be9
a=0x2f6a; output=0xcbc3
a=0x6d3e; output=0x8def
a=0x6bef; output=0x8f3e
a=0xe14f; output=0x19de
a=0xe64e; output=0x14df
a=0xc175; output=0x39b8
a=0x33bb; output=0xc772
a=0x5f5b; output=0x9bd2
a=0xccbd; output=0x2e70
a=0x747c; output=0x86b1
a=0xd061; output=0x2acc
a=0x275e; output=0xd3cf
a=0xa3ab; output=0x5782
a=0xda7b; output=0x20b2
a=0x8c39; output=0x6ef4
a=0x743d; output=0x86f0
a=0xcf67; output=0x2bc6
a=0x4119; output=0xba14
a=0x7f67; output=0x7bc6
a=0xae4f; output=0x4cde
a=0xeacf; output=0x105e
a=0x73aa; output=0x8783
a=0x2f44; output=0xcbe9
a=0xe191; output=0x199c
a=0x488e; output=0xb29f
a=0xf807; output=0x0326
a=0x6202; output=0x992b
a=0x08da; output=0xf253
a=0x2b20; output=0xd00d
a=0xdaec; output=0x2041
a=0x3163; output=0xc9ca
a=0xdd0d; output=0x1e20
a=0x594c; output=0xa1e1
a=0xc03d; output=0x3af0
a=0xf801; output=0x032c
a=0xba64; output=0x40c9
a=0x079f; output=0xf38e
a=0x8c7c; output=0x6eb1
a=0x908a; output=0x6aa3
a=0xee6e; output=0x0cbf
a=0x0f7a; output=0xebb3
a=0xb145; output=0x49e8
a=0xb0e4; output=0x4a49
a=0x2953; output=0xd1da
a=0xbabf; output=0x406e
a=0x2be7; output=0xcf46
a=0x8b94; output=0x6f99
a=0xd2da; output=0x2853
a=0x9392; output=0x679b
a=0xcc4c; output=0x2ee1
a=0xe54f; output=0x15de
a=0x83ff; output=0x772e
a=0x2f2d; output=0xcc00
a=0x1405; output=0xe728
a=0x7b9a; output=0x7f93
a=0x4d79; output=0xadb4
a=0x9258; output=0x68d5
a=0x6370; output=0x97bd
a=0xaa7c; output=0x50b1
a=0x4aa0; output=0xb08d
a=0x9d9e; output=0x5d8f
a=0x1e9b; output=0xdc92
a=0x9569; output=0x65c4
a=0xcc98; output=0x2e95
a=0x9632; output=0x64fb
a=0x6465; output=0x96c8
a=0x8e03; output=0x6d2a
a=0x322e; output=0xc8ff
a=0x757b; output=0x85b2
a=0xb36d; output=0x47c0
a=0x790d; output=0x8220
a=0x4fd3; output=0xab5a
a=0xcbc5; output=0x2f68
a=0x21ca; output=0xd963
a=0xa182; output=0x59ab
a=0x0b99; output=0xef94
a=0x3b94; output=0xbf99
a=0x32d0; output=0xc85d
a=0xdebf; output=0x1c6e
a=0x04c4; output=0xf669
a=0x990f; output=0x621e
a=0x9a78; output=0x60b5
a=0xd338; output=0x27f5
a=0xef11; output=0x0c1c
a=0x6240; output=0x98ed
a=0x3dc7; output=0xbd66
a=0x2aa3; output=0xd08a
a=0x601c; output=0x9b11
a=0x9105; output=0x6a28
a=0x6581; output=0x95ac
a=0x9515; output=0x6618
a=0x77ec; output=0x8341
a=0x10d2; output=0xea5b
a=0x63ac; output=0x9781
a=0x0288; output=0xf8a5
a=0x2475; output=0xd6b8
a=0x2159; output=0xd9d4
a=0x7a96; output=0x8097
a=0x3f06; output=0xbc27
a=0x3d2d; output=0xbe00
a=0x39ef; output=0xc13e
a=0x9c1a; output=0x5f13
a=0xe89e; output=0x128f
a=0xabbc; output=0x4f71
a=0xa2f9; output=0x5834
a=0x730e; output=0x881f
a=0xb4a8; output=0x4685
a=0xf7ef; output=0x033e
a=0x0167; output=0xf9c6
a=0xe11a; output=0x1a13
a=0x6d41; output=0x8dec
a=0x6279; output=0x98b4
a=0x6bf6; output=0x8f37
a=0xd28f; output=0x289e
a=0x710d; output=0x8a20
a=0x8a5f; output=0x70ce
a=0x78cf; output=0x825e
a=0x36c6; output=0xc467
a=0xba56; output=0x40d7
a=0x28af; output=0xd27e
a=0x0406; output=0xf727
a=0x603b; output=0x9af2
a=0x3ac0; output=0xc06d
a=0xaa09; output=0x5124
a=0x7e68; output=0x7cc5
a=0x493d; output=0xb1f0
a=0xa40b; output=0x5722
a=0x9f6f; output=0x5bbe
a=0x8bad; output=0x6f80
a=0x93e4; output=0x6749
a=0x43cf; output=0xb75e
a=0x5ae6; output=0xa047
a=0x7bef; output=0x7f3e
a=0xb1ee; output=0x493f
a=0x50d0; output=0xaa5d
a=0x7b07; output=0x8026
a=0x17ce; output=0xe35f
a=0xbfa8; output=0x3b85
a=0xfd89; output=0xfda4
a=0x5afb; output=0xa032
a=0xdf40; output=0x1bed
a=0x65b3; output=0x957a
a=0xb580; output=0x45ad
a=0xcaf3; output=0x303a
a=0xf8e5; output=0x0248
a=0x903b; output=0x6af2
a=0x62b0; output=0x987d
a=0xb47a; output=0x46b3
a=0x5234; output=0xa8f9
a=0xa246; output=0x58e7
a=0xb7aa; output=0x4383
a=0x3dd7; output=0xbd56
a=0xbbd9; output=0x3f54
a=0xed11; output=0x0e1c
a=0x4caa; output=0xae83
a=0xbfaa; output=0x3b83
a=0x719c; output=0x8991
a=0x7dd3; output=0x7d5a
a=0x67fa; output=0x9333
a=0x2da8; output=0xcd85
a=0x5d48; output=0x9de5
a=0xb123; output=0x4a0a
a=0x8973; output=0x71ba
a=0x6c6c; output=0x8ec1
a=0x0c00; output=0xef2d
a=0x2315; output=0xd818
a=0xf4bb; output=0x0672
a=0x9bf1; output=0x5f3c
a=0x426d; output=0xb8c0
a=0x8a36; output=0x70f7
a=0x24a6; output=0xd687
a=0x42d4; output=0xb859
a=0x83ee; output=0x773f
a=0x6716; output=0x9417
a=0xfc6b; output=0xfec2
a=0x49ff; output=0xb12e
a=0x0009; output=0xfb24
a=0x1d92; output=0xdd9b
a=0x97d0; output=0x635d
a=0xffc8; output=0xfb65
a=0xbad8; output=0x4055
a=0xf681; output=0x04ac
a=0x4d0a; output=0xae23
a=0x8a6c; output=0x70c1
a=0xdeb2; output=0x1c7b
a=0x2557; output=0xd5d6
a=0xa33a; output=0x57f3
a=0x9521; output=0x660c
a=0xdf1c; output=0x1c11
a=0xcaef; output=0x303e
a=0x8931; output=0x71fc
a=0xea4c; output=0x10e1
a=0xd818; output=0x2315
a=0x73e5; output=0x8748
a=0x2ff5; output=0xcb38
a=0xb548; output=0x45e5
a=0x436c; output=0xb7c1
a=0x7ba8; output=0x7f85
a=0xad4c; output=0x4de1
a=0x9594; output=0x6599
a=0x74dc; output=0x8651
a=0x8761; output=0x73cc
a=0x2cbb; output=0xce72
a=0x6641; output=0x94ec
a=0x6435; output=0x96f8
a=0xff88; output=0xfba5
a=0x2262; output=0xd8cb
a=0xdef9; output=0x1c34
a=0x9339; output=0x67f4
a=0xb901; output=0x422c
a=0xe157; output=0x19d6
a=0x366e; output=0xc4bf
a=0x521c; output=0xa911
a=0xfccd; output=0xfe60
a=0x8259; output=0x78d4
a=0x4ce5; output=0xae48
a=0x2da5; output=0xcd88
a=0xa063; output=0x5aca
a=0xac5e; output=0x4ecf
a=0xf2b1; output=0x087c
a=0x6d58; output=0x8dd5
a=0x86ca; output=0x7463
a=0xcc89; output=0x2ea4
a=0xeba1; output=0x0f8c
a=0x80d7; output=0x7a56
a=0x80a7; output=0x7a86
a=0xf6ea; output=0x0443
a=0x7b20; output=0x800d
a=0xa049; output=0x5ae4
a=0x2230; output=0xd8fd
a=0x77f6; output=0x8337
a=0xda27; output=0x2106
a=0xab30; output=0x4ffd
a=0x76e0; output=0x844d
a=0xa28c; output=0x58a1
a=0xec3d; output=0x0ef0
a=0x000f; output=0xfb1e
a=0x1765; output=0xe3c8
a=0x63c5; output=0x9768
a=0x6428; output=0x9705
a=0x10b6; output=0xea77
a=0xe060; output=0x1acd
a=0x15e1; output=0xe54c
a=0x6368; output=0x97c5
a=0xf495; output=0x0698
a=0x0db0; output=0xed7d
a=0x3f0e; output=0xbc1f
a=0x0930; output=0xf1fd
a=0x06ee; output=0xf43f
a=0x194c; output=0xe1e1
a=0x9e83; output=0x5caa
a=0x38a4; output=0xc289
a=0x977c; output=0x63b1
a=0x24d3; output=0xd65a
a=0x10f5; output=0xea38
a=0x71b0; output=0x897d
a=0xd2fb; output=0x2832
a=0xb4c5; output=0x4668
a=0x543b; output=0xa6f2
a=0x7290; output=0x889d
a=0x81ab; output=0x7982
a=0xe595; output=0x1598
a=0x71be; output=0x896f
a=0xdec6; output=0x1c67
a=0x4510; output=0xb61d
a=0x2ed7; output=0xcc56
a=0x7ec0; output=0x7c6d
a=0x92ef; output=0x683e
a=0x3b32; output=0xbffb
a=0xe90c; output=0x1221
a=0x4d14; output=0xae19
a=0x320a; output=0xc923
a=0x2ca9; output=0xce84
a=0x52df; output=0xa84e
a=0xd76c; output=0x23c1
a=0xf30c; output=0x0821
a=0xcb68; output=0x2fc5
a=0x5f56; output=0x9bd7
a=0xc833; output=0x32fa
a=0xf388; output=0x07a5
a=0x8af8; output=0x7035
a=0x92b6; output=0x6877
a=0xaf33; output=0x4bfa
a=0x8df1; output=0x6d3c
a=0x2382; output=0xd7ab
a=0x22bd; output=0xd870
a=0xc9ee; output=0x313f
a=0xe55c; output=0x15d1
a=0x65df; output=0x954e
a=0xecdc; output=0x0e51
a=0xc877; output=0x32b6
a=0x6117; output=0x9a16
a=0x3b47; output=0xbfe6
a=0x6775; output=0x93b8
a=0x5ba0; output=0x9f8d
a=0x2970; output=0xd1bd
a=0xfedc; output=0xfc51
a=0x5f95; output=0x9b98
a=0xa9ed; output=0x5140
a=0x7a69; output=0x80c4
a=0x1b88; output=0xdfa5
a=0x8f69; output=0x6bc4
a=0x0010; output=0xfb1d
a=0xea3f; output=0x10ee
a=0x45a9; output=0xb584
a=0x737a; output=0x87b3
a=0x2dfc; output=0xcd31
a=0x6c81; output=0x8eac
a=0x6606; output=0x9527
a=0xac0c; output=0x4f21
a=0x7d59; output=0x7dd4
a=0x49cf; output=0xb15e
a=0x6720; output=0x940d
a=0x06be; output=0xf46f
a=0x9295; output=0x6898
a=0xf553; output=0x05da
a=0x4860; output=0xb2cd
a=0xe8b8; output=0x1275
a=0x31e3; output=0xc94a
a=0x985e; output=0x62cf
a=0x3279; output=0xc8b4
a=0xe08e; output=0x1a9f
a=0x7574; output=0x85b9
a=0xac2c; output=0x4f01
a=0xbfa2; output=0x3b8b
a=0x781b; output=0x8312
a=0x4be9; output=0xaf44
a=0x03eb; output=0xf742
a=0x836e; output=0x77bf
a=0x4d67; output=0xadc6
a=0x1bfe; output=0xdf2f
a=0xb704; output=0x4429
a=0x7cd8; output=0x7e55
a=0x751a; output=0x8613
a=0x2b8c; output=0xcfa1
a=0xb309; output=0x4824
a=0xa2c1; output=0x586c
a=0x4731; output=0xb3fc
a=0x61e2; output=0x994b
a=0x5342; output=0xa7eb
a=0x3934; output=0xc1f9
a=0x1445; output=0xe6e8
a=0x652c; output=0x9601
a=0x03a2; output=0xf78b
a=0x12da; output=0xe853
a=0xb32c; output=0x4801
a=0x1650; output=0xe4dd
a=0x67e4; output=0x9349
a=0xfbc2; output=0xff6b
a=0x99f6; output=0x6137
a=0xc22d; output=0x3900
a=0xcfe9; output=0x2b44
a=0x9c3d; output=0x5ef0
a=0x7507; output=0x8626
a=0x17f2; output=0xe33b
a=0x43d4; output=0xb759
a=0x6cb5; output=0x8e78
a=0x721e; output=0x890f
a=0x4fae; output=0xab7f
a=0x71f3; output=0x893a
a=0x0dd5; output=0xed58
a=0x7114; output=0x8a19
a=0x0431; output=0xf6fc
a=0x0914; output=0xf219
a=0xf1f0; output=0x093d
a=0x0681; output=0xf4ac
a=0x60d2; output=0x9a5b
a=0xd423; output=0x270a
a=0x00d5; output=0xfa58
a=0x9282; output=0x68ab
a=0x92e4; output=0x6849
a=0x086b; output=0xf2c2
a=0x433b; output=0xb7f2
a=0x9668; output=0x64c5
a=0x7d6c; output=0x7dc1
a=0xd753; output=0x23da
a=0x0393; output=0xf79a
a=0xbfca; output=0x3b63
a=0x8158; output=0x79d5
a=0x9e37; output=0x5cf6
a=0x2872; output=0xd2bb
a=0xe99d; output=0x1190
a=0xc7a1; output=0x338c
a=0xf69f; output=0x048e
a=0x7325; output=0x8808
a=0x89cd; output=0x7160
a=0xc4dd; output=0x3650
a=0xc3a6; output=0x3787
a=0xe6b2; output=0x147b
a=0x1082; output=0xeaab
a=0xd263; output=0x28ca
a=0xfdff; output=0xfd2e
a=0x54cb; output=0xa662
a=0xc520; output=0x360d
a=0xcabd; output=0x3070
a=0x4f88; output=0xaba5
a=0x9307; output=0x6826
a=0x8a12; output=0x711b
a=0x7e20; output=0x7d0d
a=0x3e32; output=0xbcfb
a=0xdb98; output=0x1f95
a=0x3842; output=0xc2eb
a=0xf80c; output=0x0321
a=0x9352; output=0x67db
a=0x95b3; output=0x657a
a=0x9001; output=0x6b2c
a=0xb895; output=0x4298
a=0xa03d; output=0x5af0
a=0x6334; output=0x97f9
a=0x03d0; output=0xf75d
a=0x364a; output=0xc4e3
a=0x090c; output=0xf221
a=0xa45d; output=0x56d0
a=0xbf37; output=0x3bf6
a=0x4deb; output=0xad42
a=0x190b; output=0xe222
a=0xc59c; output=0x3591
a=0xa202; output=0x592b
a=0x6cdd; output=0x8e50
a=0x02c9; output=0xf864
a=0x299d; output=0xd190
a=0xfcde; output=0xfe4f
a=0xe8d9; output=0x1254
a=0xfe10; output=0xfd1d
a=0x8474; output=0x76b9
a=0xc3a4; output=0x3789
a=0xa5ba; output=0x5573
a=0xa081; output=0x5aac
a=0xe32c; output=0x1801
a=0xbfee; output=0x3b3f
a=0x19ba; output=0xe173
a=0x9d89; output=0x5da4
a=0x922f; output=0x68fe
a=0xea0a; output=0x1123
a=0x90e0; output=0x6a4d
a=0xdaf4; output=0x2039
a=0xff83; output=0xfbaa
a=0xc1df; output=0x394e
a=0x7125; output=0x8a08
a=0x5fad; output=0x9b80
a=0x2a98; output=0xd095
a=0x8142; output=0x79eb
a=0xb8fa; output=0x4233
a=0x5daa; output=0x9d83
a=0xa9ad; output=0x5180
a=0xbde7; output=0x3d46
a=0x8387; output=0x77a6
a=0xe0a6; output=0x1a87
a=0xcf0f; output=0x2c1e
a=0xddcf; output=0x1d5e
a=0xbd83; output=0x3daa
a=0x8237; output=0x78f6
a=0x857e; output=0x75af
a=0xca04; output=0x3129
a=0xe1b9; output=0x1974
a=0xa821; output=0x530c
a=0x03af; output=0xf77e
a=0xdb23; output=0x200a
a=0x10c1; output=0xea6c
a=0x6299; output=0x9894
a=0x8449; output=0x76e4
a=0xf36b; output=0x07c2
a=0x59ba; output=0xa173
a=0xd565; output=0x25c8
a=0xdae2; output=0x204b
a=0xd15f; output=0x29ce
a=0x871f; output=0x740e
a=0xd839; output=0x22f4
a=0xaef2; output=0x4c3b
a=0x5c43; output=0x9eea
a=0x424d; output=0xb8e0
a=0xe9e4; output=0x1149
a=0x7084; output=0x8aa9
a=0x2049; output=0xdae4
a=0x841e; output=0x770f
a=0xea8e; output=0x109f
a=0x8e7c; output=0x6cb1
a=0x29d1; output=0xd15c
a=0xdbda; output=0x1f53
a=0x6b43; output=0x8fea
a=0x35e9; output=0xc544
a=0x418c; output=0xb9a1
a=0x276b; output=0xd3c2
a=0x5936; output=0xa1f7
a=0x8826; output=0x7307
a=0x11f1; output=0xe93c
a=0x5108; output=0xaa25
a=0x7e8b; output=0x7ca2
a=0x1735; output=0xe3f8
a=0xc4e3; output=0x364a
a=0xac1a; output=0x4f13
a=0x920f; output=0x691e
a=0x0227; output=0xf906
a=0xe59f; output=0x158e
a=0xe87a; output=0x12b3
a=0x994a; output=0x61e3
a=0x5f3f; output=0x9bee
a=0x5783; output=0xa3aa
a=0xeded; output=0x0d40
a=0x8115; output=0x7a18
a=0xbbbb; output=0x3f72
a=0x07c2; output=0xf36b
a=0x25c1; output=0xd56c
a=0xf33e; output=0x07ef
a=0x1d5e; output=0xddcf
a=0xd357; output=0x27d6
a=0x2180; output=0xd9ad
a=0xd91b; output=0x2212
a=0x59c1; output=0xa16c
a=0x5035; output=0xaaf8
a=0x11af; output=0xe97e
a=0x338c; output=0xc7a1
a=0x6709; output=0x9424
a=0xa691; output=0x549c
a=0xe981; output=0x11ac
a=0x03da; output=0xf753
a=0x829f; output=0x788e
a=0x83bc; output=0x7771
a=0xe441; output=0x16ec
a=0xdd06; output=0x1e27
a=0x45e0; output=0xb54d
a=0x580b; output=0xa322
a=0xc564; output=0x35c9
a=0xe1c3; output=0x196a
a=0xc738; output=0x33f5
a=0x2407; output=0xd726
a=0xa599; output=0x5594
a=0x2d45; output=0xcde8
a=0xf84e; output=0x02df
a=0xc926; output=0x3207
a=0xd352; output=0x27db
a=0x3950; output=0xc1dd
a=0x9246; output=0x68e7
a=0x826c; output=0x78c1
a=0x0e49; output=0xece4
a=0x0fef; output=0xeb3e
a=0xc75e; output=0x33cf
a=0x96f6; output=0x6437
a=0x2f56; output=0xcbd7
a=0x43b6; output=0xb777
a=0xf49f; output=0x068e
a=0x10fb; output=0xea32
a=0x045a; output=0xf6d3
a=0xf218; output=0x0915
a=0x86a8; output=0x7485
a=0x9adb; output=0x6052
a=0x69e6; output=0x9147
a=0x98dd; output=0x6250
a=0x18b3; output=0xe27a
a=0x382e; output=0xc2ff
a=0x79c7; output=0x8166
a=0x24e5; output=0xd648
a=0xe679; output=0x14b4
a=0x1525; output=0xe608
a=0xdc3f; output=0x1eee
a=0x589a; output=0xa293
a=0xe190; output=0x199d
a=0x2320; output=0xd80d
a=0x998b; output=0x61a2
a=0x9971; output=0x61bc
a=0xc6b8; output=0x3475
a=0x6cbc; output=0x8e71
a=0xb315; output=0x4818
a=0x0517; output=0xf616
a=0x7a32; output=0x80fb
a=0x0382; output=0xf7ab
a=0x5117; output=0xaa16
a=0xb0df; output=0x4a4e
a=0xb03a; output=0x4af3
a=0x24a2; output=0xd68b
a=0x09da; output=0xf153
a=0x004c; output=0xfae1
a=0xe65b; output=0x14d2
a=0x81d2; output=0x795b
a=0x4def; output=0xad3e
a=0x70da; output=0x8a53
a=0x7894; output=0x8299
a=0x13f1; output=0xe73c
a=0x9b38; output=0x5ff5
a=0xde19; output=0x1d14
a=0xe50e; output=0x161f
a=0x16c6; output=0xe467
a=0xf5cc; output=0x0561
a=0x01e5; output=0xf948
a=0x80ea; output=0x7a43
a=0x3738; output=0xc3f5
a=0x8c3b; output=0x6ef2
a=0xfd35; output=0xfdf8
a=0x264b; output=0xd4e2
a=0x38d0; output=0xc25d
a=0x85e8; output=0x7545
a=0xe076; output=0x1ab7
a=0x3156; output=0xc9d7
a=0x3232; output=0xc8fb
a=0x42bf; output=0xb86e
a=0xa8e8; output=0x5245
a=0x057b; output=0xf5b2
a=0x3085; output=0xcaa8
a=0x0034; output=0xfaf9
a=0xaa9d; output=0x5090
a=0x3625; output=0xc508
a=0x00d5; output=0xfa58
a=0x500f; output=0xab1e
a=0xa0c8; output=0x5a65
a=0x7f96; output=0x7b97
a=0xbb98; output=0x3f95
a=0x7f9d; output=0x7b90
a=0x4597; output=0xb596
a=0xb39e; output=0x478f
a=0x2434; output=0xd6f9
a=0x85bf; output=0x756e
a=0xe5c7; output=0x1566
a=0xab4f; output=0x4fde
a=0x5577; output=0xa5b6
a=0x5b0b; output=0xa022
a=0xfaf9; output=0x0034
a=0x9b90; output=0x5f9d
a=0x9777; output=0x63b6
a=0xbcec; output=0x3e41
a=0x580a; output=0xa323
a=0xf333; output=0x07fa
a=0x0116; output=0xfa17
a=0x4b73; output=0xafba
a=0xda3f; output=0x20ee
a=0x235a; output=0xd7d3
a=0x8c5e; output=0x6ecf
a=0x4a3a; output=0xb0f3
a=0x0be5; output=0xef48
a=0xd9d5; output=0x2158
a=0x7969; output=0x81c4
a=0x7052; output=0x8adb
a=0xaaa2; output=0x508b
a=0xbf58; output=0x3bd5
a=0xe357; output=0x17d6
a=0xa2a8; output=0x5885
a=0x5f69; output=0x9bc4
a=0x0d6c; output=0xedc1
a=0x2e02; output=0xcd2b
a=0x1206; output=0xe927
a=0x1737; output=0xe3f6
a=0xb56b; output=0x45c2
a=0x7ec6; output=0x7c67
a=0x3df8; output=0xbd35
a=0x351b; output=0xc612
a=0x21c0; output=0xd96d
a=0x33f9; output=0xc734
a=0x0f1d; output=0xec10
a=0xc1d0; output=0x395d
a=0x9710; output=0x641d
a=0x3ac3; output=0xc06a
a=0xf9e1; output=0x014c
a=0x8afd; output=0x7030
a=0x503c; output=0xaaf1
a=0xe208; output=0x1925
a=0x4e7b; output=0xacb2
a=0x7419; output=0x8714
a=0xd0b2; output=0x2a7b
a=0xe762; output=0x13cb
a=0x22e1; output=0xd84c
a=0x58f1; output=0xa23c
a=0xc576; output=0x35b7
a=0xc3db; output=0x3752
a=0x6d35; output=0x8df8
a=0x13ef; output=0xe73e
a=0x6b3c; output=0x8ff1
a=0x1089; output=0xeaa4
a=0x1d0f; output=0xde1e
a=0xa1a1; output=0x598c
a=0x37a6; output=0xc387
a=0x8108; output=0x7a25
a=0x4c24; output=0xaf09
a=0x01ec; output=0xf941
a=0xa159; output=0x59d4
a=0x5bf4; output=0x9f39
a=0x9038; output=0x6af5
a=0xb1e9; output=0x4944
a=0x617d; output=0x99b0
a=0x64b8; output=0x9675
a=0x5771; output=0xa3bc
a=0x7121; output=0x8a0c
a=0x8871; output=0x72bc
a=0xf286; output=0x08a7
a=0xa954; output=0x51d9
a=0xb470; output=0x46bd
a=0xd79c; output=0x2391
a=0xb1b9; output=0x4974
a=0x6a82; output=0x90ab
a=0xedd8; output=0x0d55
a=0x35bd; output=0xc570
a=0x40cd; output=0xba60
a=0x178f; output=0xe39e
a=0x27e4; output=0xd349
a=0x7909; output=0x8224
a=0xb91e; output=0x420f
a=0xdc9b; output=0x1e92
a=0xffc3; output=0xfb6a
a=0x5733; output=0xa3fa
a=0x79fa; output=0x8133
a=0x84bf; output=0x766e
a=0xe6c3; output=0x146a
a=0xb22a; output=0x4903
a=0xe918; output=0x1215
a=0xe900; output=0x122d
a=0x4aed; output=0xb040
a=0x0427; output=0xf706
a=0xb2cd; output=0x4860
a=0x66a2; output=0x948b
a=0xb5e5; output=0x4548
a=0x038e; output=0xf79f
a=0xb6f9; output=0x4434
a=0x170e; output=0xe41f
a=0xa33d; output=0x57f0
a=0x26e5; output=0xd448
a=0x093a; output=0xf1f3
a=0x0a18; output=0xf115
a=0xef47; output=0x0be6
a=0x067e; output=0xf4af
a=0x12e4; output=0xe849
a=0x7d08; output=0x7e25
a=0xd112; output=0x2a1b
a=0x6b50; output=0x8fdd
a=0x0075; output=0xfab8
a=0x264e; output=0xd4df
a=0xeb6d; output=0x0fc0
a=0x0d80; output=0xedad
a=0x4371; output=0xb7bc
a=0x5946; output=0xa1e7
a=0x9860; output=0x62cd
a=0xde97; output=0x1c96
a=0xf3ba; output=0x0773
a=0x08c4; output=0xf269
a=0x68c6; output=0x9267
a=0xf5b9; output=0x0574
a=0xcce3; output=0x2e4a
a=0xaee1; output=0x4c4c
a=0x3307; output=0xc826
a=0xe39f; output=0x178e
a=0x401b; output=0xbb12
a=0x3a3e; output=0xc0ef
a=0x6b1c; output=0x9011
a=0x41e7; output=0xb946
a=0xeb33; output=0x0ffa
a=0xab8c; output=0x4fa1
a=0x31be; output=0xc96f
a=0x122a; output=0xe903
a=0xf518; output=0x0615
a=0xd4e7; output=0x2646
a=0x74bc; output=0x8671
a=0x4b22; output=0xb00b
a=0xb6a5; output=0x4488
a=0x3a43; output=0xc0ea
a=0xe48a; output=0x16a3
a=0xba12; output=0x411b
a=0x6924; output=0x9209
a=0xf317; output=0x0816
a=0xc48c; output=0x36a1
a=0x5dcc; output=0x9d61
a=0x2d84; output=0xcda9
a=0xbca2; output=0x3e8b
a=0x6ebc; output=0x8c71
a=0xcf26; output=0x2c07
a=0x83f3; output=0x773a
a=0xfc8d; output=0xfea0
a=0xe015; output=0x1b18
a=0x071f; output=0xf40e
